eventID,orig_term,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
WS18008:stnMR:200um:2018-01-09T01:01:00,mesh,200,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS18008:stnMR:200um:2018-01-09T01:01:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
WS18120:stnWS:500um:2018-05-01T16:05:00,distance_m,247.205,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18120:stnWS:500um:2018-05-01T16:05:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18120:stnWS:500um:2018-05-01T16:05:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS18120:stnWS:500um:2018-05-01T16:05:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18120:stnWS:500um:2018-05-01T16:05:00,flowmeter_out,1009,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18120:stnWS:500um:2018-05-01T16:05:00,dillution,450,,,milliliter,,
WS18120:stnWS:500um:2018-05-01T16:05:00,dillution_factor,90,,,,,
WS18120:stnWS:500um:2018-05-01T16:05:00,split_amount,,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
WS18120:stnWS:500um:2018-05-01T16:05:00,splits_analyzed,0,,,,,
WS18120:stnWS:500um:2018-05-01T16:05:00,volume_filt_cubic_m,48.5385882456665,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS18120:stnWS:500um:2018-05-01T16:05:00,pipette_vol_m_l,5,,,milliliter,,
WS18120:stnWS:500um:2018-05-01T16:05:00,ind_m3,1.8541948427607,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS18120:stnWS:500um:2018-05-01T16:05:00,number_ind_sample,90,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS18120:stnWS:500um:2018-05-01T16:05:00,tow_time_min,5,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS18120:stnWS:500um:2018-05-01T16:05:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS18120:stnWS:500um:2018-05-01T16:05:00,split_size,0.5,,,,,
WS18120:stnWS:500um:2018-05-01T16:05:00,tow_speed_m_sec,0.824016666666667,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
WS18120:stnWS:500um:2018-05-01T16:05:00,mesh,500,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS18120:stnWS:500um:2018-05-01T16:05:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
WS18218:stnMR:500um:2018-08-06T22:08:00,distance_m,247.205,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18218:stnMR:500um:2018-08-06T22:08:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18218:stnMR:500um:2018-08-06T22:08:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS18218:stnMR:500um:2018-08-06T22:08:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18218:stnMR:500um:2018-08-06T22:08:00,flowmeter_out,1009,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18218:stnMR:500um:2018-08-06T22:08:00,dillution,400,,,milliliter,,
WS18218:stnMR:500um:2018-08-06T22:08:00,dillution_factor,80,,,,,
WS18218:stnMR:500um:2018-08-06T22:08:00,split_amount,,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
WS18218:stnMR:500um:2018-08-06T22:08:00,splits_analyzed,0,,,,,
WS18218:stnMR:500um:2018-08-06T22:08:00,volume_filt_cubic_m,48.5385882456665,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS18218:stnMR:500um:2018-08-06T22:08:00,pipette_vol_m_l,5,,,milliliter,,
WS18218:stnMR:500um:2018-08-06T22:08:00,ind_m3,0.549391063972298,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS18218:stnMR:500um:2018-08-06T22:08:00,number_ind_sample,26.66666664,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS18218:stnMR:500um:2018-08-06T22:08:00,tow_time_min,5,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS18218:stnMR:500um:2018-08-06T22:08:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS18218:stnMR:500um:2018-08-06T22:08:00,split_size,0.5,,,,,
WS18218:stnMR:500um:2018-08-06T22:08:00,tow_speed_m_sec,0.824016666666667,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
WS18218:stnMR:500um:2018-08-06T22:08:00,mesh,500,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS18218:stnMR:500um:2018-08-06T22:08:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
WS20230:stnWS:200um:2020-08-19T15:08:00,distance_m,747.985,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS20230:stnWS:200um:2020-08-19T15:08:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS20230:stnWS:200um:2020-08-19T15:08:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS20230:stnWS:200um:2020-08-19T15:08:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS20230:stnWS:200um:2020-08-19T15:08:00,flowmeter_out,3053,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS20230:stnWS:200um:2020-08-19T15:08:00,dillution,800,,,milliliter,,
WS20230:stnWS:200um:2020-08-19T15:08:00,dillution_factor,160,,,,,
WS20230:stnWS:200um:2020-08-19T15:08:00,split_amount,,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
WS20230:stnWS:200um:2020-08-19T15:08:00,splits_analyzed,0,,,,,
WS20230:stnWS:200um:2020-08-19T15:08:00,volume_filt_cubic_m,146.86651131221,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS20230:stnWS:200um:2020-08-19T15:08:00,pipette_vol_m_l,5,,,milliliter,,
WS20230:stnWS:200um:2020-08-19T15:08:00,ind_m3,0.726283110880513,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS20230:stnWS:200um:2020-08-19T15:08:00,number_ind_sample,106.66666672,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS20230:stnWS:200um:2020-08-19T15:08:00,tow_time_min,2,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS20230:stnWS:200um:2020-08-19T15:08:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS20230:stnWS:200um:2020-08-19T15:08:00,split_size,0.5,,,,,
WS20230:stnWS:200um:2020-08-19T15:08:00,tow_speed_m_sec,6.23320833333333,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
WS20230:stnWS:200um:2020-08-19T15:08:00,mesh,200,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS20230:stnWS:200um:2020-08-19T15:08:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
